Episode Number: 377, Episode Reward: -17.0, Running Mean: -13.263210179821087
Episode Number: 378, Episode Reward: -15.0, Running Mean: -13.280578078022875
Episode Number: 379, Episode Reward: -18.0, Running Mean: -13.327772297242646
Episode Number: 380, Episode Reward: -11.0, Running Mean: -13.304494574270219
Episode Number: 381, Episode Reward: -10.0, Running Mean: -13.271449628527517
Episode Number: 382, Episode Reward: -12.0, Running Mean: -13.25873513224224
Episode Number: 383, Episode Reward: -8.0, Running Mean: -13.206147780919817
Episode Number: 384, Episode Reward: -11.0, Running Mean: -13.184086303110618
Episode Number: 385, Episode Reward: -13.0, Running Mean: -13.182245440079512
Episode Number: 386, Episode Reward: -14.0, Running Mean: -13.190422985678717
Episode Number: 387, Episode Reward: -9.0, Running Mean: -13.14851875582193
Episode Number: 388, Episode Reward: -18.0, Running Mean: -13.197033568263711
Episode Number: 389, Episode Reward: -15.0, Running Mean: -13.215063232581073
